"Product_Collection","Vertical_Segment","Processor_Number","Status","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Processor_Graphics_","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Support_4k","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","OpenGL_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit","Launch_Year","price_per_core","price_per_thread"
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1231V3","Launched","22 nm",245,4,8,3.4,3.8,8,"5 GT/s DMI2",80,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2014,61.25,30.625
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1240 v3","End of Life","22 nm",267.5,4,8,3.4,3.8,8,"5 GT/s DMI",80,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2013,66.875,33.4375
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1240LV3","Launched","22 nm",278,4,8,2,3,8,"5 GT/s DMI2",25,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2014,69.5,34.75
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1241V3","Launched","22 nm",267.5,4,8,3.5,3.9,8,"5 GT/s DMI2",80,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2014,66.875,33.4375
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1245 v3","End of Life","22 nm",281.5,4,8,3.4,3.8,8,"5 GT/s DMI",84,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"350 MHz","1.20 GHz","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2013,70.375,35.1875
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1246V3","Launched","22 nm",281.5,4,8,3.5,3.9,8,"5 GT/s DMI2",84,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"350 MHz","1.20 GHz","1.7 GB","eDP/DP/HDMI/VGA ",NA,"3840x2160@60Hz","3840x2160@60Hz","","11.2",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2014,70.375,35.1875
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1275 v3","End of Life","22 nm",344.5,4,8,3.5,3.9,8,"5 GT/s DMI",84,"Yes","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"350 MHz","1.25 GHz","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2013,86.125,43.0625
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1265Lv3","Launched","22 nm",294,4,8,2.5,3.7,8,"5 GT/s DMI",45,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"350 MHz","1.20 GHz","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2013,73.5,36.75
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1271V3","Launched","22 nm",333.5,4,8,3.6,4,8,"5 GT/s DMI2",80,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2014,83.375,41.6875
"Intel® Xeon® Processor E3 v3 Family","Embedded","E3-1268LV3","Launched","22 nm",377,4,8,2.3,3.3,8,"5 GT/s DMI",45,"Yes","Yes","32 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"350 MHz","1.00 GHz","","",NA,"","","","",NA,"3","Up to 1x16, 2x8, 1x8 2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2013,94.25,47.125
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1270 v3","End of Life","22 nm",333.5,4,8,3.5,3.9,8,"5 GT/s DMI",80,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2013,83.375,41.6875
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1275LV3","Launched","22 nm",328,4,8,2.7,3.9,8,"5 GT/s DMI",45,"No","Yes","32 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"350 MHz","1.20 GHz","1.7 GB","eDP/DP/HDMI/VGA ",NA,"3840x2160@60Hz","3840x2160@60Hz","","11.2",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2014,82,41
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1280 v3","End of Life","22 nm",612,4,8,3.6,4,8,"5 GT/s DMI",82,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2013,153,76.5
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1276V3","Launched","22 nm",344.5,4,8,3.6,4,8,"5 GT/s DMI2",84,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"350 MHz","1.25 GHz","1.7 GB","eDP/DP/HDMI/VGA ",NA,"3840x2160@60Hz","3840x2160@60Hz","","11.2",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2014,86.125,43.0625
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1281V3","Launched","22 nm",612,4,8,3.7,4.1,8,"5 GT/s DMI2",82,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2014,153,76.5
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1285 v3","End of Life","22 nm",662,4,8,3.6,4,8,"5 GT/s DMI",84,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"350 MHz","1.30 GHz","","",NA,"","","","",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2013,165.5,82.75
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1285Lv3","End of Life","22 nm",303,4,8,3.1,3.9,8,"5 GT/s DMI",65,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"350 MHz","1.25 GHz","","",NA,"","","","11.2",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2013,75.75,37.875
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1286V3","End of Life","22 nm",662,4,8,3.7,4.1,8,"5 GT/s DMI2",84,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"350 MHz","1.30 GHz","1.7 GB","eDP/DP/HDMI/VGA ",NA,"3840x2160@60Hz","3840x2160@60Hz","","11.2",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2014,165.5,82.75
"Intel® Xeon® Processor E3 v3 Family","Server","E3-1286LV3","End of Life","22 nm",774,4,8,3.2,4,8,"5 GT/s DMI2",65,"No","Yes","32 GB","DDR3 and DDR3L 1333/1600 at 1.5V",2,"25.6 GB/s","Yes",NA,"350 MHz","1.25 GHz","1.7 GB","eDP/DP/HDMI/VGA ",NA,"3840x2160@60Hz","3840x2160@60Hz","","11.2",NA,"3","1x16, 2x8, 1x8/2x4",16,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2014,193.5,96.75
"Intel® Xeon® Processor E3 v2 Family","Embedded","E3-1105CV2","Launched","22 nm",389,4,8,1.8,3.3,8,"5 GT/s DMI2",25,"Yes","Yes","32 GB","DDR3/DDR3L 1066/1333/1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",20,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2013,97.25,48.625
"Intel® Xeon® Processor E3 v2 Family","Embedded","E3-1125CV2","Launched","22 nm",545,4,8,2.5,3.3,8,"5 GT/s DMI2",40,"Yes","Yes","32 GB","DDR3/DDR3L 1066/1333/1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",20,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2013,136.25,68.125
"Intel® Xeon® Processor E3 v2 Family","Server","E3-1220LV2","End of Life","22 nm",189,2,4,2.3,3.5,3,"5 GT/s DMI",17,"No","Yes","32.23 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",NA,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","","Yes","","Yes",2012,94.5,47.25
"Intel® Xeon® Processor E3 v2 Family","Server","E3-1220V2","End of Life","22 nm",196,4,4,3.1,3.5,8,"5 GT/s DMI",69,"No","Yes","32.77 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",NA,"","No","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2012,49,49
"Intel® Xeon® Processor E3 v2 Family","Server","E3-1225V2","Launched","22 nm",205,4,4,3.2,3.6,8,"5 GT/s DMI",77,"Yes","Yes","32.77 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"650 MHz","1.25 GHz","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",NA,"","No","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2012,51.25,51.25
"Intel® Xeon® Processor E3 v2 Family","Server","E3-1230V2","End of Life","22 nm",222.5,4,8,3.3,3.7,8,"5 GT/s DMI",69,"No","Yes","32.77 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",NA,"65.8°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2012,55.625,27.8125
"Intel® Xeon® Processor E3 v2 Family","Server","E3-1240V2","End of Life","22 nm",255.5,4,8,3.4,3.8,8,"5 GT/s DMI",69,"No","Yes","32.77 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",NA,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","","Yes","","Yes",2012,63.875,31.9375
"Intel® Xeon® Processor E3 v2 Family","Server","E3-1245V2","End of Life","22 nm",269.5,4,8,3.4,3.8,8,"5 GT/s DMI",77,"No","Yes","32.77 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"650 MHz","1.25 GHz","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",NA,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2012,67.375,33.6875
"Intel® Xeon® Processor E3 v2 Family","Server","E3-1265LV2","End of Life","22 nm",299.5,4,8,2.5,3.5,8,"5 GT/s DMI",45,"No","Yes","32.77 GB","DDR3 1333/1600",2,"","Yes",NA,"650 MHz","1.15 GHz","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",NA,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","","","Yes",2012,74.875,37.4375
"Intel® Xeon® Processor E3 v2 Family","Server","E3-1270V2","End of Life","22 nm",333.5,4,8,3.5,3.9,8,"5 GT/s DMI",69,"No","Yes","32.77 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",NA,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2012,83.375,41.6875
"Intel® Xeon® Processor E3 v2 Family","Server","E3-1280V2","End of Life","22 nm",623,4,8,3.6,4,8,"5 GT/s DMI",69,"No","Yes","32.77 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",NA,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2012,155.75,77.875
"Intel® Xeon® Processor E3 v2 Family","Server","E3-1275V2","Launched","22 nm",334.5,4,8,3.5,3.9,8,"5 GT/s DMI",77,"Yes","Yes","32.77 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"650 MHz","1.25 GHz","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",NA,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2012,83.625,41.8125
"Intel® Xeon® Processor E3 v2 Family","Server","E3-1290V2","End of Life","22 nm",303,4,8,3.7,4.1,8,"5 GT/s DMI",87,"No","Yes","32.77 GB","DDR3 1333/1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"3","1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",NA,"","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2012,75.75,37.875
"Intel® Xeon® Processor E3 Family","Embedded","E3-1125C","Launched","",519,4,8,2,3.3,8,"",40,"Yes","Yes","32 GB","DDR3 1066/1333/1600",2,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","1x16  1x4 or 2x8  1x4 or 1x8  3x4",20,"100°C","Yes","Yes","Yes","64-bit","AVX, AES-NI","Yes","Yes","","Yes",2012,129.75,64.875
"Intel® Xeon® Processor E3 Family","Server","E3-1220","End of Life","32 nm",196,4,4,3.1,3.4,8,"5 GT/s DMI",80,"No","","32 GB","DDR3 1066/1333",2,"21 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","",20,"69.1°C","No","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2011,49,49
"Intel® Xeon® Processor E3 Family","Server","E3-1220L","End of Life","32 nm",189,2,4,2.2,3.4,3,"5 GT/s DMI",20,"No","","32 GB","DDR3 1066/1333",2,"21 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","",20,"77.5°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2011,94.5,47.25
"Intel® Xeon® Processor E3 Family","Server","E3-1225","End of Life","32 nm",192,4,4,3.1,3.4,6,"5 GT/s DMI",95,"Yes","","32 GB","DDR3 1066/1333",2,"21 GB/s","Yes",NA,"850 MHz","1.35 GHz","","",NA,"","","","",NA,"2","",20,"72.6°C","No","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2011,48,48
"Intel® Xeon® Processor E3 Family","Server","E3-1230","End of Life","32 nm",230,4,8,3.2,3.6,8,"5 GT/s DMI",80,"No","","32 GB","DDR3 1066/1333",2,"21 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","",20,"69.1°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2011,57.5,28.75
"Intel® Xeon® Processor E3 Family","Server","E3-1240","End of Life","32 nm",255.5,4,8,3.3,3.7,8,"5 GT/s DMI",80,"No","","32 GB","DDR3 1066/1333",2,"21 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","",20,"69.1°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2011,63.875,31.9375
"Intel® Xeon® Processor E3 Family","Server","E3-1235","End of Life","32 nm",250,4,8,3.2,3.6,8,"5 GT/s DMI",95,"No","","32 GB","DDR3 1066/1333",2,"21 GB/s","Yes",NA,"850 MHz","1.35 GHz","","",NA,"","","","",NA,"2","",20,"72.6°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2011,62.5,31.25
"Intel® Xeon® Processor E3 Family","Server","E3-1245","End of Life","32 nm",267.5,4,8,3.3,3.7,8,"5 GT/s DMI",95,"No","","32 GB","DDR3 1066/1333",2,"21 GB/s","Yes",NA,"850 MHz","1.35 GHz","","",NA,"","","","",NA,"2","",20,"72.6°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2011,66.875,33.4375
"Intel® Xeon® Processor E3 Family","Server","E3-1260L","End of Life","32 nm",294,4,8,2.4,3.3,8,"5 GT/s DMI",45,"No","","32 GB","DDR3 1066/1333",2,"21 GB/s","Yes",NA,"650 MHz","1.25 GHz","","",NA,"","","","",NA,"2","",20,"58.6°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2011,73.5,36.75
"Intel® Xeon® Processor E3 Family","Server","E3-1275","End of Life","32 nm",332.5,4,8,3.4,3.8,8,"5 GT/s DMI",95,"Yes","","32 GB","DDR3 1066/1333",2,"21 GB/s","Yes",NA,"850 MHz","1.35 GHz","","",NA,"","","","",NA,"2","",20,"72.6°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2011,83.125,41.5625
"Intel® Xeon® Processor E3 Family","Server","E3-1270","End of Life","32 nm",333.5,4,8,3.4,3.8,8,"5 GT/s DMI",80,"No","","32 GB","DDR3 1066/1333",2,"21 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","",20,"69.1°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2011,83.375,41.6875
"Intel® Xeon® Processor E3 Family","Server","E3-1280","End of Life","32 nm",617.5,4,8,3.5,3.9,8,"5 GT/s DMI",95,"No","","32 GB","DDR3 1066/1333",2,"21 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"2","",20,"73.6°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX","Yes","Yes","","Yes",2011,154.375,77.1875
"Intel® Xeon® Processor D Family","Server","D-1518","Launched","14 nm",234,4,8,2.2,2.2,6,"",35,"Yes","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2015,58.5,29.25
"Intel® Xeon® Processor D Family","Server","D-1520","Launched","14 nm",199,4,8,2.2,2.6,6,"",45,"No","Yes","128 GB","DDR4",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"80°C ","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2015,49.75,24.875
"Intel® Xeon® Processor D Family","Server","D-1521","Launched","14 nm",199,4,8,2.4,2.7,6,"",45,"No","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2015,49.75,24.875
"Intel® Xeon® Processor D Family","Server","D-1523N","Launched","14 nm",256,4,8,2,2.6,6,"",45,"No","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2017,64,32
"Intel® Xeon® Processor D Family","Server","D-1527","Launched","14 nm",259,4,8,2.2,2.7,6,"",35,"Yes","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2015,64.75,32.375
"Intel® Xeon® Processor D Family","Server","D-1528","Launched","14 nm",389,6,12,1.9,2.5,9,"",35,"Yes","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2015,64.8333333333333,32.4166666666667
"Intel® Xeon® Processor D Family","Server","D-1529","Launched","14 nm",324,4,8,1.3,1.3,6,"",20,"Yes","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",24,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2016,81,40.5
"Intel® Xeon® Processor D Family","Server","D-1531","Launched","14 nm",348,6,12,2.2,2.7,9,"",45,"No","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2015,58,29
"Intel® Xeon® Processor D Family","Server","D-1533N","Launched","14 nm",470,6,12,2.1,2.7,9,"",45,"No","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2017,78.3333333333333,39.1666666666667
"Intel® Xeon® Processor D Family","Server","D-1537","Launched","14 nm",571,8,16,1.7,2.3,12,"",35,"Yes","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2015,71.375,35.6875
"Intel® Xeon® Processor D Family","Server","D-1539","Launched","14 nm",590,8,16,1.6,2.2,12,"",35,"Yes","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2016,73.75,36.875
"Intel® Xeon® Processor D Family","Server","D-1540","Launched","14 nm",581,8,16,2,2.6,12,"",45,"No","Yes","128 GB","DDR4",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"80°C ","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2015,72.625,36.3125
"Intel® Xeon® Processor D Family","Server","D-1541","Launched","14 nm",581,8,16,2.1,2.7,12,"",45,"No","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2015,72.625,36.3125
"Intel® Xeon® Processor D Family","Server","D-1543N","Launched","14 nm",652,8,16,1.9,2.5,12,"",45,"No","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2017,81.5,40.75
"Intel® Xeon® Processor D Family","Server","D-1548","Launched","14 nm",675,8,16,2,2.6,12,"",45,"Yes","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2015,84.375,42.1875
"Intel® Xeon® Processor D Family","Server","D-1559","Launched","14 nm",883,12,24,1.5,2.1,18,"",45,"Yes","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2016,73.5833333333333,36.7916666666667
"Intel® Xeon® Processor D Family","Server","D-1557","Launched","14 nm",844,12,24,1.5,2.1,18,"",45,"Yes","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2016,70.3333333333333,35.1666666666667
"Intel® Xeon® Processor D Family","Server","D-1567","Launched","14 nm",1299,12,24,2.1,2.7,18,"",65,"Yes","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2016,108.25,54.125
