"Product_Collection","Vertical_Segment","Processor_Number","Status","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Processor_Graphics_","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Support_4k","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","OpenGL_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit","Launch_Year","price_per_core","price_per_thread"
"Intel® Pentium® Processor 4000 Series","Mobile","4415Y","Launched","14 nm",161,2,4,1.6,3.3,2,"4 GT/s OPI",6,"No","Yes","16 GB","LPDDR3-1866, DDR3L-1600",2,"29.8 GB/s","No",NA,"300 MHz","850 MHz","16 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","Yes","Yes",2017,80.5,40.25
"Intel® Pentium® Processor 4000 Series","Mobile","4410Y","Launched","14 nm",161,2,4,1.5,3.3,2,"4 GT/s OPI",6,"No","Yes","16 GB","LPDDR3-1866, DDR3L-1600",2,"29.8 GB/s","No",NA,"300 MHz","850 MHz","16 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","Yes","Yes",2017,80.5,40.25
"Intel® Pentium® Processor 4000 Series","Mobile","4415U","Launched","14 nm",161,2,4,2.3,3.3,2,"4 GT/s OPI",15,"No","Yes","32 GB","DDR4-2133, LPDDR3-1866, DDR3L-1600",2,"34.1 GB/s","No",NA,"300 MHz","950 MHz","32 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"2","1x4, 2x2, 1x2+2x1 and 4x1",10,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","Yes","Yes",2017,80.5,40.25
"Intel® Pentium® Processor 3000 Series","Mobile","3805U","Launched","14 nm",161,2,2,1.9,3.3,2,"5 GT/s DMI2",15,"No","Yes","16 GB","DDR3L 1333/1600 LPDDR3 1333/1600",2,"25.6 GB/s","",NA,"100 MHz","800 MHz","","eDP/DP/HDMI",NA,"","","","11.2/12",NA,"2","4x1 2x4",12,"105°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","Yes","Yes",2015,80.5,80.5
"Intel® Pentium® Processor 3000 Series","Mobile","3561Y","Launched","22 nm",161,2,2,1.2,3.3,2,"5 GT/s DMI2",11.5,"No","Yes","16 GB","DDR3L 1333/1600, LPDDR3 1333/1600",2,"25.6 GB/s","No",NA,"200 MHz","850 MHz","","eDP/DP/HDMI",NA,"","","","",NA,"2","4x1, 2x4",12,"100°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","Yes","Yes",2013,80.5,80.5
"Intel® Pentium® Processor 3000 Series","Mobile","3560M","Launched","22 nm",134,2,2,2.4,3.3,2,"5 GT/s DMI2",37,"No","Yes","32 GB","DDR3L 1333/1600",2,"25.6 GB/s","No",NA,"400 MHz","1.10 GHz","","eDP/DP/HDMI/VGA ",NA,"","","","",NA,"2","1x16 or 2x8 or 1x8 2x4",16,"100°C","No","Yes","Yes","64-bit","SSE4.1/4.2","","Yes","Yes","Yes",2014,67,67
"Intel® Pentium® Processor 3000 Series","Mobile","3560Y","Launched","22 nm",303,2,2,1.2,3.3,2,"5 GT/s DMI2",11.5,"No","Yes","16 GB","DDR3L 1333/1600, LPDDR3 1333/1600",2,"25.6 GB/s","No",NA,"200 MHz","850 MHz","","eDP/DP/HDMI",NA,"","","","",NA,"2","4x1, 2x4",12,"100°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","Yes","Yes",2013,151.5,151.5
"Intel® Pentium® Processor 3000 Series","Mobile","3558U","Launched","22 nm",161,2,2,1.7,3.3,2,"5 GT/s DMI2",15,"No","Yes","16 GB","DDR3L 1333/1600, LPDDR3 1333/1600",2,"25.6 GB/s","No",NA,"200 MHz","1.00 GHz","","eDP/DP/HDMI",NA,"","","","",NA,"2","4x1, 1x4, 1x2",10,"100°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","Yes","Yes",2013,80.5,80.5
"Intel® Pentium® Processor 3000 Series","Mobile","3556U","Launched","22 nm",303,2,2,1.7,3.3,2,"5 GT/s DMI2",15,"No","Yes","16 GB","DDR3L 1333/1600, LPDDR3 1333/1600",2,"25.6 GB/s","No",NA,"200 MHz","1.00 GHz","","eDP/DP/HDMI",NA,"","","","",NA,"2","4x1, 1x4, 1x2",10,"100°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","Yes","Yes",2013,151.5,151.5
"Intel® Pentium® Processor 3000 Series","Mobile","3550M","Launched","22 nm",134,2,2,2.3,3.3,2,"5 GT/s DMI2",37,"No","Yes","32 GB","DDR3L 1333/1600",2,"25.6 GB/s","No",NA,"400 MHz","1.10 GHz","","eDP/DP/HDMI/VGA ",NA,"","","","",NA,"2","1x16 or 2x8 or 1x8 2x4",16,"100°C","No","Yes","Yes","64-bit","SSE4.1/4.2","","Yes","Yes","Yes",2013,67,67
